127.0.0.1 - - [07/Dec/2024:09:35:14 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:35:15 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 500 2514
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:35:15 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:35:44 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:35:44 -0300] "GET /Sistema_de_Lixo/estilo.css HTTP/1.1" 200 1617
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:35:44 -0300] "GET /Sistema_de_Lixo/Assets/Fundo.png HTTP/1.1" 200 1230762
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:30 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:31 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:32 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:32 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:33 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:34 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:34 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:35 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:35 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:35 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:36 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:36 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:36 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:37 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:37 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:38 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:38 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:39 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:39 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:39 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:39 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:39 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:40 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:40 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:40 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:40 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:41 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:41 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:41 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:41 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:42 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:42 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:43 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:43 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:44 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:45 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:45 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:36:46 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:37:00 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:37:01 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:37:22 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:37:22 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:37:23 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:37:24 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:37:24 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:37:24 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:37:25 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:37:25 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:37:25 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:37:26 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:37:26 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:37:26 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:37:26 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:37:27 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:37:27 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:37:27 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:37:28 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:37:28 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:37:29 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:37:29 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:37:29 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [07/Dec/2024:09:37:29 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 1640
